Name,Price,Url,Image_url,image_urls,images
Labrador,$12.95,https://www.glassesshop.com/eyeglasses/fp1989,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201910/5d9ff9da1df35.jpg","https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201910/5d9ff9da1df35.jpg","[{'url': 'https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201910/5d9ff9da1df35.jpg', 'path': 'full/45a7f0f899222a8d98a762d934c9adb244bdc109.jpg', 'checksum': '922a8341c3cf2124777b9eb6415a1183', 'status': 'downloaded'}]"
Joplin,$24.95,https://www.glassesshop.com/eyeglasses/fz1490,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202008/5f30c1144643e.jpg","https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202008/5f30c1144643e.jpg","[{'url': 'https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202008/5f30c1144643e.jpg', 'path': 'full/b3ec5dd1212ca45cb893201d918543751d025c71.jpg', 'checksum': '1696b12f1333b560b6ccdbc80a6b7808', 'status': 'downloaded'}]"
Baldwin,$19.95,https://www.glassesshop.com/eyeglasses/fp1618,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201805/5afe7d156f3d7.jpg","https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201805/5afe7d156f3d7.jpg","[{'url': 'https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201805/5afe7d156f3d7.jpg', 'path': 'full/d98766981388a991d7104583ff4b17b2c11ee207.jpg', 'checksum': 'f5fdb3d2721d841d8f71879d72b5127c', 'status': 'downloaded'}]"
Benjamin,$29.95,https://www.glassesshop.com/eyeglasses/fm1467,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202006/5eddb2edc1f7e.jpg","https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202006/5eddb2edc1f7e.jpg","[{'url': 'https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202006/5eddb2edc1f7e.jpg', 'path': 'full/3457756d37a7ec05bbfd2facbc3d18c205e50012.jpg', 'checksum': '3c86c3cd5e2f13d8b7b3ee6c7530ac4a', 'status': 'downloaded'}]"
Bloor,$12.95,https://www.glassesshop.com/eyeglasses/fp1920,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201908/5d4d18eee5210.jpg","https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201908/5d4d18eee5210.jpg","[{'url': 'https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201908/5d4d18eee5210.jpg', 'path': 'full/0bd55435f52577a062da50b45f57f81058419c8b.jpg', 'checksum': 'df5a7d1d638a585bb7a612be6af36aff', 'status': 'downloaded'}]"
Annabelle,$24.95,https://www.glassesshop.com/eyeglasses/fp2085,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202005/5eb8b587b14b5.jpg","https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202005/5eb8b587b14b5.jpg","[{'url': 'https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202005/5eb8b587b14b5.jpg', 'path': 'full/368cb0678e18b8fb6434c3d37ecaeb584e905f8d.jpg', 'checksum': 'e7ba6cbab0699226f237a371c3cdf8c0', 'status': 'downloaded'}]"
Astrid,$19.95,https://www.glassesshop.com/eyeglasses/fp1502,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201911/5dc4c1328544a.jpg","https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201911/5dc4c1328544a.jpg","[{'url': 'https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201911/5dc4c1328544a.jpg', 'path': 'full/2d85ed67dfe2d58945b1e5970a223bbee44de194.jpg', 'checksum': '0b791955bf75d3cc70d14da2b2bd0385', 'status': 'downloaded'}]"
Nicole,$29.95,https://www.glassesshop.com/eyeglasses/fz1084,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201710/59e01c2d210b5.jpg","https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201710/59e01c2d210b5.jpg","[{'url': 'https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201710/59e01c2d210b5.jpg', 'path': 'full/c95366240d82daf42d14b414848466c7bdb1ef7d.jpg', 'checksum': 'c3173bc41d7351ef7a23c14064b2e1e0', 'status': 'downloaded'}]"
Isaiah,$19.95,https://www.glassesshop.com/eyeglasses/fp1644,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201805/5afe7e919eb7f.jpg","https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201805/5afe7e919eb7f.jpg","[{'url': 'https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201805/5afe7e919eb7f.jpg', 'path': 'full/33068cbda2ac6499eb8b0a713735ac19fbcccc10.jpg', 'checksum': '90c47853360cfc4c1614b31232caa60a', 'status': 'downloaded'}]"
Ezekiel,$29.95,https://www.glassesshop.com/eyeglasses/fz1277,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201810/5bbc50f6605c9.jpg","https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201810/5bbc50f6605c9.jpg","[{'url': 'https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201810/5bbc50f6605c9.jpg', 'path': 'full/1a81288c08bbc536f891a2bf07f3ec017aec3f44.jpg', 'checksum': 'd24660afddbd66f61f9b9bbbb573c512', 'status': 'downloaded'}]"
