link,name,price,rating,review
www.amazon.com/Gaming-Headset-Beexcellent-Headphone-Isolation/dp/B07T17YH1T?dchild=1,"PS4 Gaming Headset with Mic, Beexcellent Newest Deep Bass Stereo Sound Over Ear Headphone with Noise Isolation LED Light for PC Laptop Tablet Mac (Blue)",$25.99,4.5 out of 5 stars,"15,152"
www.amazon.com/DualShock-Wireless-Controller-PlayStation-Magma-4/dp/B01MD19OI2?dchild=1,DualShock 4 Wireless Controller for PlayStation 4 - Magma Red,$64.98,4.7 out of 5 stars,"86,405"
www.amazon.com/BEBONCOOL-Controller-DualShock-Playstation-PlayStation4/dp/B071WNWHZ7?dchild=1,"BEBONCOOL PS4 Controller Charger, Controller USB Charging Station Dock for DualShock 4, PlayStation 4 Charging Station for Sony Playstation4 / PS4 / PS4 Slim / PS4 Pro Controller-Black",$14.99,4.7 out of 5 stars,"32,171"
www.amazon.com/Controller-Playstation-Team-Joystick-Vibration/dp/B088NS6JJS?dchild=1,"Controller for Playstation 4, Y Team Controller for PS4/ Pro/Slim, Game Controller Joystick with Vibration Function, Headset Jack, 6-axis Gyro Sensor/1000mAh Battery(White)",$31.97,4.0 out of 5 stars,869
www.amazon.com/PS4-Controller-Charging-Cable-Compatible/dp/B07X6CWM3G?dchild=1,"PS4 Controller Charger Charging Cable 10ft 2 Pack Nylon Braided Extra Long Micro USB 2.0 High Speed Data Sync Cord Compatible for Playstaion 4, PS4 Slim/Pro, Xbox One S/X Controller, Android Phones",$9.99,4.6 out of 5 stars,"3,608"
www.amazon.com/Orzly-Consoles-Nintendo-Headphones-Cancelling/dp/B08HL9Y8G3?dchild=1,"Orzly Gaming Headset for PC and Gaming Consoles PS5, PS4, Xbox Series X | S, Xbox ONE, Nintendo Switch & Google Stadia Stereo Sound Headphones with Noise Cancelling mic - Hornet RXH-20 Abyss Edition",$34.99,4.3 out of 5 stars,699
www.amazon.com/Just-Dance-2021-PlayStation-4-Standard/dp/B08GQW42QK?dchild=1,Just Dance 2021 - PlayStation 4 Standard Edition,$25.00,4.8 out of 5 stars,"1,296"
www.amazon.com/Attachment-Playstation-Controller-Controllers-Gaming-Console/dp/B08R92SQXW?dchild=1,"Strike Pack for PS4, Back Button Attachment for Playstation 4, F.P.S. Dominator Controller Mod Kit , Controller Paddles,With 2 Pcs Wireless Controllers Silicone Analog Thumb Grip Stick Cover",$28.99,1.0 out of 5 stars,1
www.amazon.com/PlayStation-Store-Gift-Card-Digital/dp/B00K59HKIQ?dchild=1,$100 PlayStation Store Gift Card [Digital Code],$100.00,4.7 out of 5 stars,"125,934"
www.amazon.com/Controller-ORDA-Wireless-Playstation-Indicator/dp/B087JTLHNT?dchild=1,"Wireless Controller Compatible with Playstation 4/Pro/Slim/PC with Motion Motors and Audio Function,LED Indicator, USB Cable - University Blue",$21.99,4.1 out of 5 stars,"1,704"
