Name,Price,Rating,Review Counts,link
PlayStation 4 Console - 1TB Slim Edition,$394.00,4.8 out of 5 stars,"3,755",https://www.amazon.com//PlayStation-4-Console-1TB-Slim/dp/B074LRF639/ref=sr_1_1?dchild=1&keywords=ps4&qid=1611995899&sr=8-1
"SONY PlayStation 4 Slim 1TB Console, Light & Slim PS4 System, 1TB Hard Drive, All the Greatest Games, TV, Music & More",$489.95,4.7 out of 5 stars,512,https://www.amazon.com//PlayStation-Console-Light-System-Greatest-4/dp/B077QT6K94/ref=sr_1_2?dchild=1&keywords=ps4&qid=1611995899&sr=8-2
Sony PlayStation 4 Pro 1TB Console - Black (PS4 Pro),$629.00,4.7 out of 5 stars,"2,799",https://www.amazon.com//Sony-PlayStation-Pro-1TB-Console-4/dp/B07K14XKZH/ref=sr_1_3?dchild=1&keywords=ps4&qid=1611995899&sr=8-3
DualShock 4 Wireless Controller for PlayStation 4 - Gold,$64.99,4.7 out of 5 stars,"86,264",https://www.amazon.com//DualShock-Wireless-Controller-PlayStation-Gold-4/dp/B071RSSMLL/ref=sr_1_4?dchild=1&keywords=ps4&qid=1611995899&sr=8-4
Amazon.com Gift Card Balance Reload,$50.00,4.6 out of 5 stars,"230,532",https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A004689522CQ1XD7SZYB7&url=%2FAmazon-com-Gift-Card-Balance-Reload%2Fdp%2FB00IX1I3G6%2Fref%3Dsr_1_5_sspa%3Fdchild%3D1%26keywords%3Dps4%26qid%3D1611995899%26sr%3D8-5-spons%26psc%3D1&qualifier=1611995899&id=2051570543483294&widgetName=sp_mtf
PlayStation 4 Slim 1TB Console - Marvel's Spider-Man Bundle [Discontinued],$426.49,4.7 out of 5 stars,"2,053",https://www.amazon.com//PlayStation-Slim-1TB-Console-Spider-Man-4/dp/B07HHW8C4V/ref=sr_1_6?dchild=1&keywords=ps4&qid=1611995899&sr=8-6
DualShock 4 Wireless Controller for PlayStation 4 - Midnight Blue,$64.99,4.7 out of 5 stars,"86,264",https://www.amazon.com//DualShock-Wireless-Controller-PlayStation-Midnight-4/dp/B0799976M1/ref=sr_1_7?dchild=1&keywords=ps4&qid=1611995899&sr=8-7
"Turtle Beach Recon 70 Gaming Headset for PlayStation 5, PS4 Pro, PS4, Xbox One & Xbox Series X|S, Nintendo Switch, PC, and Mobile",$39.95,4.5 out of 5 stars,"40,210",https://www.amazon.com//Turtle-Gaming-Headset-PlayStation-Nintendo-4/dp/B07NQX1J99/ref=sr_1_8?dchild=1&keywords=ps4&qid=1611995899&sr=8-8
Turtle Beach Stealth 600 Gen 2 Wireless Gaming Headset for PlayStation 5 and PlayStation 4,$99.95,4.6 out of 5 stars,"4,039",https://www.amazon.com//Stealth-Wireless-Gaming-Headset-PlayStation-Console/dp/B08D46V1TK/ref=sr_1_9?dchild=1&keywords=ps4&qid=1611995899&sr=8-9
"Orzly Gaming Headset for PC and Gaming Consoles PS5, PS4, Xbox Series X | S, Xbox ONE, Nintendo Switch & Google Stadia Stereo Sound Headphones with Noise Cancelling mic - Hornet RXH-20 Abyss Edition",$34.99,4.3 out of 5 stars,693,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A04349833LT9OWRF8KCMF&url=%2FOrzly-Consoles-Nintendo-Headphones-Cancelling%2Fdp%2FB08HL9Y8G3%2Fref%3Dsr_1_10_sspa%3Fdchild%3D1%26keywords%3Dps4%26qid%3D1611995899%26sr%3D8-10-spons%26psc%3D1&qualifier=1611995899&id=2051570543483294&widgetName=sp_mtf
