Name,Price,Rating,Review Counts,link
PS3 Controller Wireless for Playstation 3 Dual Shock (StarrySky and Camouflage),$30.99,4.3 out of 5 stars,"2,278",https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A03566393HAXC1E2KLYMM&url=%2FKolopc-Wireless-Bluetooth-Controller-Double%2Fdp%2FB0823SJKLG%2Fref%3Dsr_1_17_sspa%3Fdchild%3D1%26keywords%3Dps3%26qid%3D1611572704%26sr%3D8-17-spons%26psc%3D1&qualifier=1611572704&id=4279160048220418&widgetName=sp_atf_next
Qanba Obsidian Joystick for PlayStation 4 and PlayStation 3 and PC (Fighting Stick) Officially Licensed Sony Product,$199.99,4.7 out of 5 stars,380,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A02787462NRDSTY0H1AUT&url=%2FObsidian-Joystick-PlayStation-Fighting-Officially-4%2Fdp%2FB01N9JMYPX%2Fref%3Dsr_1_18_sspa%3Fdchild%3D1%26keywords%3Dps3%26qid%3D1611572704%26sr%3D8-18-spons%26psc%3D1%26smid%3DA2880CEL57PHAC&qualifier=1611572704&id=4279160048220418&widgetName=sp_atf_next
"2 Pack PS3 Controller Wireless - OUBANG PS3 Remote for Playstation 3 with Dual Shock,The Best Choice for Gift (Graffiti+Black)",$24.99,4.2 out of 5 stars,"1,139",https://www.amazon.com//PS3-Controller-Wireless-Dualshock-PlayStation3/dp/B075ST3QRQ/ref=sr_1_19?dchild=1&keywords=ps3&qid=1611572704&sr=8-19
Persona 5 - PlayStation 3 Standard Edition,$24.50,4.8 out of 5 stars,683,https://www.amazon.com//Persona-5-PlayStation-3-Standard/dp/B01GKHJP4I/ref=sr_1_20?dchild=1&keywords=ps3&qid=1611572704&sr=8-20
TechKen Wireless Controller Compatible with Xbox One S X PS3 and PC with 2.4G Connection,$41.97,3.9 out of 5 stars,130,https://www.amazon.com//TechKen-Wireless-Controller-Compatible-Connection/dp/B08L81N25R/ref=sr_1_21?dchild=1&keywords=ps3&qid=1611572704&sr=8-21
LEGO Jurassic World - PlayStation 3,$27.98,4.7 out of 5 stars,984,https://www.amazon.com//LEGO-Jurassic-World-PlayStation-3/dp/B00SXEONTO/ref=sr_1_22?dchild=1&keywords=ps3&qid=1611572704&sr=8-22
Sonic's Ultimate Genesis Collection (Greatest Hits) - PlayStation 3,$17.50,4.5 out of 5 stars,"2,751",https://www.amazon.com//Sonic-Ultimate-Genesis-Collection-Playstation-3/dp/B001G33V8S/ref=sr_1_23?dchild=1&keywords=ps3&qid=1611572704&sr=8-23
PS3 Controller Wireless - OUBANG Best PS3 Remote with Sixaxis Control Gamepad for Playstation 3 (Spark Blue),$12.99,4.2 out of 5 stars,"2,748",https://www.amazon.com//PS3-Controller-Wireless-Dualshock-PlayStation/dp/B075B1X4MN/ref=sr_1_24?dchild=1&keywords=ps3&qid=1611572704&sr=8-24
HDMI Cable for Playstation 3 (PS3) by Mastercables,$9.99,4.6 out of 5 stars,112,https://www.amazon.com//HDMI-Cable-PlayStation-PS3-Mastercables/dp/B01A7IADC4/ref=sr_1_25?dchild=1&keywords=ps3&qid=1611572704&sr=8-25
Sonic & SEGA All-Stars Racing - PlayStation 3,$14.98,4.6 out of 5 stars,"1,568",https://www.amazon.com//Sonic-SEGA-All-Stars-Racing-PlayStation-3/dp/B002BH3N2C/ref=sr_1_26?dchild=1&keywords=ps3&qid=1611572704&sr=8-26
VOYEE Wireless Controller Gamepad with Upgraded Joystick/Battery/Motors/Charging Cable Compatible with Sony Playstation 3 (Black),$12.99,4.2 out of 5 stars,"1,847",https://www.amazon.com//VOYEE-Controller-Wireless-Dualshock-Playstation/dp/B07ZRSYWNB/ref=sr_1_27?dchild=1&keywords=ps3&qid=1611572704&sr=8-27
Call of Duty: Ghosts - PlayStation 3,$10.99,4.6 out of 5 stars,"4,121",https://www.amazon.com//Call-Duty-Ghosts-PlayStation-sony-playstation3/dp/B003O6CBIG/ref=sr_1_28?dchild=1&keywords=ps3&qid=1611572704&sr=8-28
"PS3 Controller, PS3 Controller Wireless,Playstation 3 Controller, Wireless PS3 Joystick Double Shock Gamepad Compatible for Playstation 3 with Charger and Thumb Grips",$12.99,4.4 out of 5 stars,496,https://www.amazon.com//Controller-Wireless-Playstation-Joystick-Compatible/dp/B08DQZBM86/ref=sr_1_29?dchild=1&keywords=ps3&qid=1611572704&sr=8-29
